week,UK Sales Value (GBP),US Sales (USD) Best Case,US Sales (USD) Worst Case,US Sales Potential Variance
wk 36 2019,86802.66,62847.33035199999,61501.47577599999,1345.854575999998
wk 37 2019,115585.36,19709.930819999998,19429.373627999998,280.5571920000002
wk 38 2019,37249.65,32413.63527,32172.901514999994,240.73375500000475
wk 39 2019,70397.45999999999,51655.868276,50812.439660000004,843.4286159999974
wk 40 2019,51559.56,28575.653184,28464.463871999997,111.18931200000225
wk 41 2019,74840.48,12904.88004,12464.001576,440.87846399999944
wk 42 2019,29299.379999999997,19593.028122,19025.50801,567.5201119999983
wk 43 2019,29853.6,9677.04444,9571.06416,105.98027999999977
wk 44 2019,20946.9,7646.26302,7595.453360000001,50.809659999998985
wk 45 2019,13330.4,4294.72162,4257.396500000001,37.325119999999515
wk 46 2019,107486.25,46233.419,46050.692375000006,182.7266249999957
wk 47 2019,69871.1,48717.89320999999,48288.99215,428.90105999998923
wk 48 2019,32330.34,35621.089644,35425.550958,195.53868599999987
wk 49 2019,97873.88,45254.765920000005,44494.788468000006,759.9774519999992
wk 50 2019,32385.920000000002,24538.406759999998,23920.847747999996,617.5590120000015
wk 51 2019,35755.4,12598.3473,12360.7323,237.61499999999978
wk 52 2019,70978.4,43705.9936,43198.28928,507.7043200000044
wk 1 2020,118755.68,34571.805984,34099.969392,471.83659199999965
wk 2 2020,99532.77,53545.68633299999,53110.686072,435.00026099999377
wk 3 2020,95939.25,18749.727425,18619.2721,130.45532500000263
wk 4 2020,9856.880000000001,1766.576916,1747.8936479999998,18.683268000000226
wk 5 2020,18262.14,6801.71063,6706.934806,94.77582399999937
