Category,Scent,Date,Profit,Sales,Store,Staff days worked
Bar,Lemon,2020-01-01,-219,4222,Lewisham,200
Bar,Lemon,2020-02-01,881,4969,Lewisham,190
Bar,Lemon,2020-03-01,-658,1530,Lewisham,200
Bar,Lemon,2020-04-01,868,1388,Lewisham,60
Bar,Mint,2020-01-01,619,4118,Lewisham,200
Bar,Mint,2020-02-01,236,1702,Lewisham,190
Bar,Mint,2020-03-01,11,3727,Lewisham,200
Bar,Mint,2020-04-01,-733,1032,Lewisham,60
Bar,Raspberry,2020-01-01,987,4250,Lewisham,200
Bar,Raspberry,2020-02-01,847,2046,Lewisham,190
Bar,Raspberry,2020-03-01,-122,4860,Lewisham,200
Bar,Raspberry,2020-04-01,-594,1625,Lewisham,60
Liquid,Lemon,2020-01-01,-309,2074,Lewisham,200
Liquid,Lemon,2020-02-01,-413,1911,Lewisham,190
Liquid,Lemon,2020-03-01,-645,1546,Lewisham,200
Liquid,Lemon,2020-04-01,647,2557,Lewisham,60
Liquid,Mint,2020-01-01,316,1586,Lewisham,200
Liquid,Mint,2020-02-01,702,4155,Lewisham,190
Liquid,Mint,2020-03-01,235,4358,Lewisham,200
Liquid,Mint,2020-04-01,-690,4658,Lewisham,60
Liquid,Raspberry,2020-01-01,199,1610,Lewisham,200
Liquid,Raspberry,2020-02-01,432,1423,Lewisham,190
Liquid,Raspberry,2020-03-01,82,2859,Lewisham,200
Liquid,Raspberry,2020-04-01,257,3879,Lewisham,60
Bar,Lemon,2020-01-01,-302,1213,Camden,100
Bar,Lemon,2020-02-01,-377,4418,Camden,100
Bar,Lemon,2020-03-01,829,3192,Camden,100
Bar,Lemon,2020-04-01,938,1278,Camden,30
Bar,Mint,2020-01-01,965,4634,Camden,100
Bar,Mint,2020-02-01,459,1162,Camden,100
Bar,Mint,2020-03-01,-923,2514,Camden,100
Bar,Mint,2020-04-01,219,3248,Camden,30
Bar,Raspberry,2020-01-01,-504,1425,Camden,100
Bar,Raspberry,2020-02-01,160,3189,Camden,100
Bar,Raspberry,2020-03-01,-53,4472,Camden,100
Bar,Raspberry,2020-04-01,653,3910,Camden,30
Liquid,Lemon,2020-01-01,-420,3105,Camden,100
Liquid,Lemon,2020-02-01,562,1750,Camden,100
Liquid,Lemon,2020-03-01,-392,1156,Camden,100
Liquid,Lemon,2020-04-01,-92,2879,Camden,30
Liquid,Mint,2020-01-01,-990,2740,Camden,100
Liquid,Mint,2020-02-01,908,2326,Camden,100
Liquid,Mint,2020-03-01,502,1973,Camden,100
Liquid,Mint,2020-04-01,-361,3231,Camden,30
Liquid,Raspberry,2020-01-01,-570,1447,Camden,100
Liquid,Raspberry,2020-02-01,528,3589,Camden,100
Liquid,Raspberry,2020-03-01,-999,2740,Camden,100
Liquid,Raspberry,2020-04-01,-311,4075,Camden,30
